date,symbol,asset_name,asset_class,close
2024-09-10,510300.SS,沪深300ETF,csi_300,3.05
2024-09-11,510300.SS,沪深300ETF,csi_300,3.043
2024-09-12,510300.SS,沪深300ETF,csi_300,3.032
2024-09-13,510300.SS,沪深300ETF,csi_300,3.017
2024-09-18,510300.SS,沪深300ETF,csi_300,3.027
2024-09-19,510300.SS,沪深300ETF,csi_300,3.054
2024-09-20,510300.SS,沪深300ETF,csi_300,3.063
2024-09-23,510300.SS,沪深300ETF,csi_300,3.072
2024-09-24,510300.SS,沪深300ETF,csi_300,3.216
2024-09-25,510300.SS,沪深300ETF,csi_300,3.263
2024-09-26,510300.SS,沪深300ETF,csi_300,3.429
2024-09-27,510300.SS,沪深300ETF,csi_300,3.658
2024-09-30,510300.SS,沪深300ETF,csi_300,4.022
2024-10-08,510300.SS,沪深300ETF,csi_300,4.201
2024-10-09,510300.SS,沪深300ETF,csi_300,3.811
2024-10-10,510300.SS,沪深300ETF,csi_300,3.875
2024-10-11,510300.SS,沪深300ETF,csi_300,3.766
2024-10-14,510300.SS,沪深300ETF,csi_300,3.829
2024-10-15,510300.SS,沪深300ETF,csi_300,3.72
2024-10-16,510300.SS,沪深300ETF,csi_300,3.695
2024-10-17,510300.SS,沪深300ETF,csi_300,3.652
2024-10-18,510300.SS,沪深300ETF,csi_300,3.805
2024-10-21,510300.SS,沪深300ETF,csi_300,3.805
2024-10-22,510300.SS,沪深300ETF,csi_300,3.829
2024-10-23,510300.SS,沪深300ETF,csi_300,3.844
2024-10-24,510300.SS,沪深300ETF,csi_300,3.8
2024-10-25,510300.SS,沪深300ETF,csi_300,3.829
2024-10-28,510300.SS,沪深300ETF,csi_300,3.835
2024-10-29,510300.SS,沪深300ETF,csi_300,3.802
2024-10-30,510300.SS,沪深300ETF,csi_300,3.76
2024-10-31,510300.SS,沪深300ETF,csi_300,3.76
2024-11-01,510300.SS,沪深300ETF,csi_300,3.768
2024-11-04,510300.SS,沪深300ETF,csi_300,3.821
2024-11-05,510300.SS,沪深300ETF,csi_300,3.926
2024-11-06,510300.SS,沪深300ETF,csi_300,3.9
2024-11-07,510300.SS,沪深300ETF,csi_300,4.037
2024-11-08,510300.SS,沪深300ETF,csi_300,3.983
2024-11-11,510300.SS,沪深300ETF,csi_300,4.004
2024-11-12,510300.SS,沪深300ETF,csi_300,3.958
2024-11-13,510300.SS,沪深300ETF,csi_300,3.984
2024-11-14,510300.SS,沪深300ETF,csi_300,3.913
2024-11-15,510300.SS,沪深300ETF,csi_300,3.844
2024-11-18,510300.SS,沪深300ETF,csi_300,3.827
2024-11-19,510300.SS,沪深300ETF,csi_300,3.847
2024-11-20,510300.SS,沪深300ETF,csi_300,3.857
2024-11-21,510300.SS,沪深300ETF,csi_300,3.862
2024-11-22,510300.SS,沪深300ETF,csi_300,3.742
2024-11-25,510300.SS,沪深300ETF,csi_300,3.72
2024-11-26,510300.SS,沪深300ETF,csi_300,3.712
